index,sentence,label
1,어우 시원하다,0
2,내 가방 여기 내 자린데 네가이 책상 샀어,0
3,그건 아니지만 하면 앞에 가서 앉아 자리 많구만,0
4,아니 화장실 갔다가 시발 존나게 생긴 거 범생 같이 생겨가지고,1
5,병신같은 바보들아 조용히 해 알았어,1
6,바보래 바보 병신 새끼 너 변태 아니야 여기서 뭐 해 다니는데,1
7,진짜 이제 알았네 근데 왜 울고 있어,0
8,내가 도와줄 정말 개새끼야 말해 봐,1
9,한번 해보라고 개새끼야 개새끼야,1
10,그냥 개새끼야 라고 말하면 맛이 안살잖아,1
11,에이 새끼야 라고 해야 맛이 살지 한번 해 봐,1
12,개새끼야 이번에 씨발놈아 씨발놈아 씨발놈아 씨발놈아,1
13,어제 청취를 자면서 뛰쳐나가 돈이 자두야 안 했네,0
14,저 새끼 또 존나 심한 욕하지 알아본데,1
15,야 이 개새끼들아 시발 좆 바보로 보이냐 이 시발,1
16,호로 새끼들아 보험이라고 들어 놓고 하면,1
17,엄마 한테 전화 못 강냉이 고속도로에서 강냉이 장사,2
18,한번 해 봐야지 잠바,0
19,잠바 좀 받아 보고 살아 무서운 줄 알지,0
20,나도 전화하고 싶으면,0
21,10초 안에 내 앞에서 꺼져,1
22,이건 너무한 거 아니냐고 시발 왜 단체 똥을 지랄이야,1
23,지랄이 아침에는 책들 보고 교양을 씹새끼들,1
24,도시락이랑 아침 먹고 앉아 있고,0
25,How are you 만나서 겁나게 반갑다,0
26,fine thank you And you 하이,0
27,새끼가 이거 따로 나와 봐 나와 이 새끼야 야,1
28,아니 내가 문도 캡짱 기다려 씨발놈아,1
29,나 대한민국 경찰 방금 아이씨발 도봉경찰서 강력계 형사,1
30,방극천 이라고 이 시발,1
31,그리고 이빨 좀 자주 닦으셔야 될 거 같아요,0
32,이거 말고 살아서 그런가 여기까지 진동으로 시발,1
33,진짜 와 졌다 졌어 존나 카리스마있어,1
34,그러니까 여자들이 뻑이가지 어디서 좀 놀았니,0
35,씨발놈아 너 내가 누군지 알아 너는 한규는 허풍이 좀 심했지만,1
36,정이 많고 착한 놈이었다,0
37,어찌 좆까 이 씨방새 받았더니,1
38,너 너무 하니까 죽어 이거 방탄유리야 이 개새끼야,1
39,어떤 새끼가 제일 좁게 울고,1
40,지랄이야 이 씹새끼야 오태식이 아무리 그렇게 왔다 갔다 해도,1
41,어떻게 학부모가 난리를 쳐 바르고 치는데,0
42,이렇게 너 지금 뭐라 그랬어 시발 새끼야 선생님 자요,1
43,시발 내가 뛰고 맞짱 뜰까 시발 좆도 아닌 거 저거 야,1
44,경찰 불러 경찰 안 불렀어 이 새끼야,1
45,싸가지 없는 놈의 새끼들,1
46,어디 감히 선생님한테 대들어 이 씨발놈,1
47,앞으로 한 번만 더 선생님한테 대들다가 내 새끼들 알았어,1
48,몰랐어 이 씨발놈들 이게 뭔 일이래 이사님께서 일찍 좀 나오지,1
49,마 이 씨발놈아 싸가지 없는 새끼가 이 씨발년,1
50,씨발새끼 아니라고 이,1
51,씨발놈이 좀 성에게 보라니까 이 개새끼가 어른한테,1
52,그러면 안 되지 여기 주십시오 해야지,0
53,이렇게 하면 안 되지 새끼야 어디요 라는데,1
54,삿대질이 그 손가락 시발 존나 아프겠다,1
55,씨발년아 하지 말라 하지,1
56,마 이 개새끼야 야 이 개새끼야 이 씨발놈아,1
57,이렇게 하면 잘해 올라와 씨발놈이 돌았나,1
58,씨발놈 새끼야 어서 밥 줄게 나와 이 개새끼야 방귀,1
59,그녀 오늘 저희에게 맡겨 보시겠습니까,0
60,좆만한 새끼가 정말 아나 이 새끼가 이거 인내력타네,1
61,내 인생에 태클을 여기서 들어오나,0
62,이 마음잡고 목살이랑 말로 했더니,0
63,정말 세상이 여건이 안 되는 거야,0
64,이거 나 오늘 걷기 송장만 치워 개 새끼 시발,1
65,시발 차 빼 차 빼 착하기도 죽여 버리기 전에 씨발놈 교수님,1
66,뭐 하시게요 빨간불이잖아요,0
67,짧더라도 살아라 야 이 시발 새끼야 시발 새끼야,1
68,여보세요 어 이 전라도 수영장 이 나 경상도,0
69,욕쟁이 나랑 욕 배틀 한번 시원하게 하자,0
70,저리 꺼져 이 씨발놈아,1
71,배터리가 이 병신아 뒤질래 다물어 나 먼저 할게,1
72,야이 낑낑깡깡 삐걱거리는 깡통 대가리,2
73,대가리 대가리 대가리 4가지 좆밥 조커 4기 틀어 봐 뭔지,1
74,고댕이 밖에 안 나오는 인간 말종 개 돼지,0
75,교배 수컷들은 내 손으로 안 죽여 인간 사육 미쳐 날뛰는 괴물,2
76,우리 저기 뭐 남은 친척 입니다,0
77,한 명이면 충분해 산다라 박 대가리야,2
78,야 일로 와봐 김정은 야 불 낙동로 좋아,0
79,새끼가 동북아 말한 불구대천의 원소력 4단지 대상이나,1
80,새끼는 나와 놀아 나와서 어디고,1
81,네 아 새끼는 사상이 잘못돼서 사상이 잘못된 있겠니,1
82,이념이 잘못되고 이념이 잘못된 있겠네,0
83,아 새끼가 그 더러운 자본주의 사상의 문 열어 줘,2
84,구글 버리고 남조선의 개가 된 거 아니야,2
85,밥 쳐 먹고 살기 힘든 남조선 좋으신지,2
86,나 새끼 한번 고독사 같은 저도 꼭 한번 놓으려고 간나새끼야 살이냐고 씨발놈,1
87,그렇게 못하는 새끼야,1
88,지금 잠깐만 씨발놈아 되지도 않는 문장 단어조합,1
89,얼렁뚱땅 으로 받아들이지 말고,0
90,꺼져 이 시발 새끼야 꺼지라고,1
91,정자야 목소리는 씨발놈 집에 있는 앱,1
92,짧은 시간 있으면 그런 욕쟁이 아주 그냥 자빠졌네,0
93,경상도 욕쟁이 라며,0
94,경상도가 경상도 애들 경상도 애들 요게 90% 가 뭔지 알아,0
95,잘 들어가라 마 돌았나 이 개자슥아 대답,1
96,빨리 덜 마쳐서 주기 90% 가 추임새가 추임새,0
97,뭔 말인지 알았어,0
98,그냥 씨발놈아 큰 배가 빨리 꿀밤,1
99,대빵 큰 복을 내 버릴까 보다 야 있잖아,0
100,왕년에 택견 좀 배웠는데 VK 크기가 하냐,0
101,이거 빼가지고 낙동강에 전자발찌 전에 꺼져 버려,1
102,도망가 브라부라 팬으로서,0
103,1년에 한쪽방만 들어가기 전에 이 씨발놈아 감정도 없고,1
104,여친도 없고 돈도 없는 그 새끼가 그냥 빼고,1
105,이거 이 씨발놈,1
106,적어도 경상도 전라도 욕 말고 시작하는 거면,0
107,시작부터 좀 아야 20 거지,0
108,새끼야 시발 고정 시키는 거 내일 아침 잘 들었어요,1
109,아주 조국에서 배고프면 뒷산가서,0
110,더덕 먹는 동물들이랑 다를 게 없구만,0
111,길에 박스 한번 쳐 봤어,0
112,자본주의 뭐를 먹을 미 제사상에 쩔어있는 남자 손 줘,0
113,성진아 새끼들은 뭐가 달라도 다르구만 그래,1
114,더러운 변절자 반동분자,2
115,조국에 반기를 든 남자,0
116,김도근 아 새끼 내 가슴 속에 똑똑이 기억해 놓고 있었어,1
117,조국 에 가면 네 아 새끼는 즉결심판 갑이야,2
118,엽총 3일 구경 다들 오늘이야 새끼 대갈통이 날아갈뻔,1
119,리아 새끼 오마니 아버지 모두 좋아,1
120,소리가 저장 껍데기가 베껴,0
121,미리야 새끼가 정신을 차리고,1
122,내일이 더 속이 풀리지 않게 고아 새끼 아직도 찍을 때,1
123,할 말 있으면 한번 나 지켜보라 다니냐 해,0
124,나 덤블도어 교수랑 맥주 한잔 하고 있었는데 이 씨발놈,1
125,볼드모트가 듣기 싫다 해 갖고 왔는데,0
126,두 글자에 트로피를 들고 있는 강자의 입장에서,0
127,역전의 터닝포인트 줬는데도 불구하고,0
128,이 씨발놈이 끝까지 곧이곧대로 시작되는 말 안 듣고,1
129,뭐 얼굴반쪽 숙제,0
130,죽여버려 좀 전까지 씹창나게 빨래터에서 정신 못 차렸어,1
131,스포츠 새끼야 왜 나만 갖고 온대 씨발새끼야,1
132,여기 오늘 얼마나 많은 사람들이 보는데 왜 안 갖고 오는데,0
133,시발 새끼야 이런 건 안 하고 이 씨발놈아 확 그냥 최불암 목차,1
134,그러다가 색깔이 내리찍어 터트려 죽여버리기전에 개자식아,1
135,형 말하는 거 잘 봐,0
136,페이스가 깔려 있는 노하우,0
137,대가리 목도리 잘 통해서 또박또박,0
138,완벽한 모습을 보여 주고 있잖아,0
139,배우지도 못할망정 욕배틀에 도전장을 내밀고 자빠졌네,3
140,씨발놈이 지금 배틀은 권투 선수 랑 싸우는 거야,1
141,뭔 말인지 알아 네가 일반인이라고 잠자는 호랑이 똥꼬 맥스크루즈,3
142,경상도욕 생일을 딱,0
143,인식되는데 개자식아 근데 무슨 욕배틀 네,1
144,그걸로 네가 말하는 뚝배기,0
145,타이틀을 달고 싶어서 머릿속에 그린 그림 그릴,0
146,환영회가 세발낙지 쏙 빼닮은 땅콩씨앗,0
147,씨발놈이 쌍봉낙타 쪽 닮아가지고 개새끼가 코평수,1
148,그렇게 내 걸로 람보르기니 우라칸 콧구멍에 주차시켜,0
149,그러니까 이 씨발놈 나야,1
150,와이파이존에서 무제한으로 때리기 전에 또렷해지는 저리 꺼져 꺼져 이,1
151,씨발새끼야 재미없으니까 간다고요,1
152,씨발놈이 아 여기까지 하자 이 씨발놈아 욕 좀 하네 끊을게,1
153,계속 또라이 새끼야 미쳤냐,1
154,아니 그 메시지가 뭔데 일단 출가자 섬난충,0
155,너무 잘 나는 걸 잘 가 아 시를 줘 버리네 내일을 할 때 이렇게 주면 안 돼요,0
156,그렇게 써야지 얘네들이 약간 모자란 내가 여기 여긴 클래스,0
157,병신년들 야 진짜 네가 뭘 잘했다고,1
158,지금 우리한테 뭐라 하는 건데,0
